frame_index,frame_name,time_seconds,timestamp,abs_timestamp,ground,environment,objects,score
7000,DJI_0411_frame_007000,3081.6,0:51:21,,0;1;0;0,0.2496;0.0000;0.1530,0;2;0,53.48
7125,DJI_0411_frame_007125,3086.6,0:51:26,,0;1;0;0,0.0414;0.0000;0.3882,0;3;0,36.35
7250,DJI_0411_frame_007250,3091.6,0:51:31,,0;1;0;0,0.0686;0.0000;0.1864,0;5;0,39.5
7375,DJI_0411_frame_007375,3096.6,0:51:36,,0;1;0;0,0.0514;0.0000;0.2566,0;3;0,38.25
7500,DJI_0411_frame_007500,3101.6,0:51:41,,0;1;0;0,0.0822;0.0000;0.2199,0;2;0,44.08
7625,DJI_0411_frame_007625,3106.6,0:51:46,,0;1;0;0,0.2404;0.0000;0.1951,0;1;0,59.78
7750,DJI_0411_frame_007750,3111.6,0:51:51,,1;0;0;0,0.0361;0.0000;0.2092,0;2;1,45.49
7875,DJI_0411_frame_007875,3116.6,0:51:56,,1;0;0;0,0.0230;0.0000;0.0453,0;0;0,82.1
8000,DJI_0411_frame_008000,3121.6,0:52:01,,1;0;0;0,0.0698;0.0000;0.2166,0;0;1,70.51
8125,DJI_0411_frame_008125,3126.6,0:52:06,,1;0;0;0,0.1951;0.0000;0.2838,0;0;0,84.0
8250,DJI_0411_frame_008250,3131.6,0:52:11,,1;0;0;0,0.3504;0.0000;0.0000,0;0;0,100.0
8375,DJI_0411_frame_008375,3136.6,0:52:16,,1;0;0;0,0.5956;0.0000;0.0000,0;0;0,100.0
8500,DJI_0411_frame_008500,3141.6,0:52:21,,1;0;0;0,0.6303;0.0000;0.0000,0;0;0,100.0
8625,DJI_0411_frame_008625,3146.6,0:52:26,,0;1;0;0,0.6471;0.0000;0.0000,0;0;0,94.0
8750,DJI_0411_frame_008750,3151.6,0:52:31,,0;1;0;0,0.6888;0.0000;0.0000,0;0;0,94.0
8875,DJI_0411_frame_008875,3156.6,0:52:36,,1;0;0;0,0.5567;0.0000;0.0000,0;1;0,77.88
9000,DJI_0411_frame_009000,3161.6,0:52:41,,0;1;0;0,0.6091;0.0000;0.0000,0;0;0,94.0
9125,DJI_0411_frame_009125,3166.6,0:52:46,,0;1;0;0,0.5420;0.0000;0.0000,0;0;0,94.0
9250,DJI_0411_frame_009250,3171.6,0:52:51,,0;0;0;1,0.4092;0.0000;0.0000,0;0;0,82.0
9375,DJI_0411_frame_009375,3176.6,0:52:56,,1;0;0;0,0.5338;0.0000;0.0000,0;0;0,100.0
9500,DJI_0411_frame_009500,3181.6,0:53:01,,0;0;1;0,0.6988;0.0000;0.0000,0;0;0,86.0
9625,DJI_0411_frame_009625,3186.6,0:53:06,,1;0;0;0,0.6234;0.0000;0.0000,0;0;0,100.0
9750,DJI_0411_frame_009750,3191.6,0:53:11,,1;0;0;0,0.8030;0.0000;0.0000,0;0;0,100.0
9875,DJI_0411_frame_009875,3196.6,0:53:16,,0;1;0;0,0.3412;0.0000;0.0000,0;1;0,71.88
10000,DJI_0411_frame_010000,3201.6,0:53:21,,1;0;0;0,0.3553;0.0000;0.0000,0;0;0,100.0
10125,DJI_0411_frame_010125,3206.6,0:53:26,,1;0;0;0,0.6413;0.0000;0.0000,0;0;0,100.0
10250,DJI_0411_frame_010250,3211.6,0:53:31,,1;0;0;0,0.6503;0.0000;0.0000,0;0;0,100.0
10375,DJI_0411_frame_010375,3216.6,0:53:36,,1;0;0;0,0.3578;0.0000;0.0000,0;0;0,100.0
10500,DJI_0411_frame_010500,3221.6,0:53:41,,1;0;0;0,0.5461;0.0000;0.0000,0;0;0,100.0
10625,DJI_0411_frame_010625,3226.6,0:53:46,,0;0;1;0,0.5973;0.0000;0.0000,0;0;0,86.0
10750,DJI_0411_frame_010750,3231.6,0:53:51,,0;1;0;0,0.3973;0.0000;0.0000,0;0;0,94.0
10875,DJI_0411_frame_010875,3236.6,0:53:56,,1;0;0;0,0.7123;0.0000;0.0000,0;0;0,100.0
11000,DJI_0411_frame_011000,3241.6,0:54:01,,1;0;0;0,0.5956;0.0000;0.0000,0;0;0,100.0
11125,DJI_0411_frame_011125,3246.6,0:54:06,,0;0;0;1,0.7714;0.0000;0.0000,0;0;0,82.0
11250,DJI_0411_frame_011250,3251.6,0:54:11,,1;0;0;0,0.6374;0.0000;0.0000,0;0;0,100.0
11375,DJI_0411_frame_011375,3256.6,0:54:16,,0;1;0;0,0.4555;0.0000;0.0000,0;2;0,63.74
11500,DJI_0411_frame_011500,3261.6,0:54:21,,1;0;0;0,0.6237;0.0000;0.0000,0;0;0,100.0
11625,DJI_0411_frame_011625,3266.6,0:54:26,,1;0;0;0,0.7716;0.0000;0.0000,0;2;0,69.74
11750,DJI_0411_frame_011750,3271.6,0:54:31,,1;0;0;0,0.7137;0.0000;0.0000,0;2;0,69.74
